code,name,parent,city,level,full_name,source
11,서울,,서울,CTPRVN,서울특별시,ctprvn
26,부산,,부산,CTPRVN,부산광역시,ctprvn
27,대구,,대구,CTPRVN,대구광역시,ctprvn
28,인천,,인천,CTPRVN,인천광역시,ctprvn
29,광주,,광주,CTPRVN,광주광역시,ctprvn
30,대전,,대전,CTPRVN,대전광역시,ctprvn
31,울산,,울산,CTPRVN,울산광역시,ctprvn
36,세종,,세종,CTPRVN,세종특별자치시,ctprvn
41,경기,,경기,CTPRVN,경기도,ctprvn
43,충청북,,충청북,CTPRVN,충청북도,ctprvn
44,충청남,,충청남,CTPRVN,충청남도,ctprvn
45,전라북,,전라북,CTPRVN,전라북도,ctprvn
46,전라남,,전라남,CTPRVN,전라남도,ctprvn
47,경상북,,경상북,CTPRVN,경상북도,ctprvn
48,경상남,,경상남,CTPRVN,경상남도,ctprvn
50,제주,,제주,CTPRVN,제주특별자치도,ctprvn
51,강원,,강원,CTPRVN,강원특별자치도,ctprvn
11110,종로구,서울,서울,SIG,서울 종로구,sig
11140,중구,서울,서울,SIG,서울 중구,sig
11170,용산구,서울,서울,SIG,서울 용산구,sig
11200,성동구,서울,서울,SIG,서울 성동구,sig
11215,광진구,서울,서울,SIG,서울 광진구,sig
11230,동대문구,서울,서울,SIG,서울 동대문구,sig
11260,중랑구,서울,서울,SIG,서울 중랑구,sig
11290,성북구,서울,서울,SIG,서울 성북구,sig
11305,강북구,서울,서울,SIG,서울 강북구,sig
11320,도봉구,서울,서울,SIG,서울 도봉구,sig
11350,노원구,서울,서울,SIG,서울 노원구,sig
11380,은평구,서울,서울,SIG,서울 은평구,sig
11410,서대문구,서울,서울,SIG,서울 서대문구,sig
11440,마포구,서울,서울,SIG,서울 마포구,sig
11470,양천구,서울,서울,SIG,서울 양천구,sig
11500,강서구,서울,서울,SIG,서울 강서구,sig
11530,구로구,서울,서울,SIG,서울 구로구,sig
11545,금천구,서울,서울,SIG,서울 금천구,sig
11560,영등포구,서울,서울,SIG,서울 영등포구,sig
11590,동작구,서울,서울,SIG,서울 동작구,sig
11620,관악구,서울,서울,SIG,서울 관악구,sig
11650,서초구,서울,서울,SIG,서울 서초구,sig
11680,강남구,서울,서울,SIG,서울 강남구,sig
11710,송파구,서울,서울,SIG,서울 송파구,sig
11740,강동구,서울,서울,SIG,서울 강동구,sig
26110,중구,부산,부산,SIG,부산 중구,sig
26140,서구,부산,부산,SIG,부산 서구,sig
26170,동구,부산,부산,SIG,부산 동구,sig
26200,영도구,부산,부산,SIG,부산 영도구,sig
26230,부산진구,부산,부산,SIG,부산 부산진구,sig
26260,동래구,부산,부산,SIG,부산 동래구,sig
26290,남구,부산,부산,SIG,부산 남구,sig
26320,북구,부산,부산,SIG,부산 북구,sig
26350,해운대구,부산,부산,SIG,부산 해운대구,sig
26380,사하구,부산,부산,SIG,부산 사하구,sig
26410,금정구,부산,부산,SIG,부산 금정구,sig
